Timestamp,Which came first?,Do you hit the snooze button?,"If I was a zombie, I would...",What is your favorite day of the week?,Gender,Age
9/11/2013 12:30:16,Chicken,Yes,preferentially chase small children.,Tuesday,Male,Parent age
9/11/2013 12:35:01,Egg,No,preferentially chase small children.,Friday,Male,20-something
9/11/2013 12:37:25,Egg,Yes,learn to drive stick.,Thursday,Male,Grandparent age
9/13/2013 9:34:41,Chicken,No,preferentially chase small children.,Friday,Male,Parent age
9/17/2013 10:03:58,Chicken,Yes,learn to drive stick.,Wednesday,,Teenie bopper
9/17/2013 10:04:13,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:05:07,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:05:18,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:08:23,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:08:37,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:09:25,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:09:34,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 13:51:23,Egg,Yes,preferentially chase small children.,Tuesday,Female,Grandparent age
10/21/2013 22:04:57,Chicken,Yes,preferentially chase small children.,Thursday,Male,20-something
10/24/2013 6:09:21,Chicken,Yes,learn to drive stick.,Thursday,Male,Parent age
10/24/2013 6:10:01,Chicken,Yes,learn to drive stick.,Monday,Male,Parent age
10/24/2013 6:10:16,Chicken,Yes,learn to drive stick.,Saturday,Male,Parent age
10/24/2013 6:11:19,Chicken,Yes,learn to drive stick.,Tuesday,Male,Parent age
10/24/2013 6:11:42,Chicken,Yes,learn to drive stick.,Thursday,Male,Parent age
10/24/2013 11:46:03,Chicken,No,seek out police officers and others with shotguns.,Wednesday,Female,Parent age
10/24/2013 13:52:21,Egg,No,seek out police officers and others with shotguns.,Sunday,Male,Teenie bopper
10/24/2013 21:34:44,Chicken,Yes,seek out police officers and others with shotguns.,Sunday,Male,Parent age
10/25/2013 6:51:13,Chicken,Yes,preferentially chase small children.,Saturday,Male,Parent age
10/25/2013 9:41:51,Chicken,Yes,learn to drive stick.,Friday,Male,Parent age
10/25/2013 19:17:42,Chicken,No,learn to drive stick.,Friday,Male,20-something
10/27/2013 23:05:40,Chicken,Yes,learn to drive stick.,Monday,Male,Parent age